hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,stays_in_weekend_nights,stays_in_week_nights,customer_type,country,adr,total_nights,revenue,deposit_type,distribution_channel,market_segment
City Hotel,1,35,2017,2,2,1,Transient,ITA,119.32,3,0.0,No Deposit,TA/TO,Online TA
Resort Hotel,1,128,2016,2,2,0,Transient,ESP,90.38,2,0.0,Non Refund,Direct,Direct
Resort Hotel,0,87,2015,9,1,2,Transient-Party,ESP,95.85,3,287.54,No Deposit,TA/TO,Groups
City Hotel,0,37,2016,7,2,1,Transient,GBR,136.63,3,409.89,No Deposit,TA/TO,Online TA
City Hotel,0,94,2016,5,1,0,Transient,DEU,79.95,1,79.95,No Deposit,TA/TO,Offline TA/TO
City Hotel,1,65,2015,6,1,3,Transient,PRT,114.8,4,0.0,No Deposit,TA/TO,Direct
City Hotel,0,1,2016,4,0,0,Transient,DEU,45.9,1,45.9,No Deposit,TA/TO,Groups
Resort Hotel,1,336,2016,9,2,1,Transient,ESP,99.37,3,0.0,No Deposit,TA/TO,Online TA
City Hotel,0,86,2015,1,1,0,Transient,GBR,103.79,1,103.79,No Deposit,TA/TO,Online TA
Resort Hotel,0,210,2016,1,0,2,Transient,DEU,50.87,2,101.75,No Deposit,TA/TO,Online TA
City Hotel,0,203,2016,8,3,1,Transient,USA,117.27,4,469.09,Non Refund,TA/TO,Offline TA/TO
Resort Hotel,0,45,2016,1,2,2,Contract,NLD,47.13,4,188.52,No Deposit,TA/TO,Online TA
Resort Hotel,0,45,2017,4,1,2,Transient,PRT,99.31,3,297.92,Non Refund,TA/TO,Aviation
City Hotel,1,304,2015,8,2,1,Transient,GBR,108.0,3,0.0,No Deposit,Direct,Groups
City Hotel,0,13,2016,10,1,0,Transient,CHN,118.05,1,118.05,No Deposit,TA/TO,Groups
City Hotel,1,50,2015,4,2,0,Transient-Party,DEU,143.93,2,0.0,No Deposit,TA/TO,Online TA
City Hotel,0,23,2017,5,1,1,Transient,FRA,49.37,2,98.73,No Deposit,TA/TO,Online TA
City Hotel,1,201,2015,8,3,0,Transient-Party,GBR,170.04,3,0.0,Non Refund,TA/TO,Online TA
City Hotel,0,76,2016,2,2,1,Group,PRT,77.99,3,233.96,No Deposit,Direct,Online TA
City Hotel,1,126,2017,11,1,3,Transient,FRA,135.13,4,0.0,No Deposit,TA/TO,Groups
City Hotel,0,28,2016,2,3,0,Transient,USA,79.42,3,238.27,No Deposit,TA/TO,Direct
City Hotel,0,25,2016,10,1,2,Transient,AUS,102.33,3,306.98,No Deposit,Corporate,Groups
City Hotel,0,319,2015,9,0,0,Transient,IRL,100.37,1,100.37,No Deposit,TA/TO,Online TA
City Hotel,1,16,2016,6,3,0,Transient,GBR,134.56,3,0.0,No Deposit,TA/TO,Offline TA/TO
City Hotel,0,49,2016,11,1,0,Transient,PRT,114.88,1,114.88,No Deposit,TA/TO,Online TA
Resort Hotel,0,1,2016,11,0,2,Transient,PRT,139.34,2,278.69,No Deposit,TA/TO,Online TA
City Hotel,1,204,2017,3,1,1,Transient,NLD,145.61,2,0.0,No Deposit,Direct,Online TA
City Hotel,0,10,2016,11,0,0,Transient,BRA,105.59,1,105.59,No Deposit,Direct,Online TA
City Hotel,0,0,2017,8,1,1,Transient,ESP,78.56,2,157.11,No Deposit,TA/TO,Offline TA/TO
City Hotel,1,101,2016,7,1,3,Group,AUS,161.93,4,0.0,No Deposit,Direct,Offline TA/TO
City Hotel,0,277,2016,7,1,1,Transient,GBR,122.28,2,244.56,No Deposit,TA/TO,Offline TA/TO
City Hotel,1,41,2015,8,1,0,Group,PRT,78.08,1,0.0,Non Refund,TA/TO,Direct
City Hotel,0,28,2016,11,2,0,Transient,NOR,45.68,2,91.37,No Deposit,TA/TO,Online TA
Resort Hotel,0,4,2017,9,1,2,Transient,PRT,75.71,3,227.13,No Deposit,TA/TO,Online TA
Resort Hotel,0,2,2016,3,1,0,Transient-Party,USA,125.08,1,125.08,No Deposit,TA/TO,Corporate
Resort Hotel,0,700,2016,9,1,0,Transient-Party,FRA,112.11,1,112.11,No Deposit,TA/TO,Online TA
City Hotel,1,249,2015,6,0,0,Transient,ITA,106.44,1,0.0,No Deposit,TA/TO,Online TA
City Hotel,1,133,2017,6,3,2,Transient,GBR,79.62,5,0.0,No Deposit,TA/TO,Online TA
Resort Hotel,1,418,2016,1,1,3,Transient,PRT,101.47,4,0.0,No Deposit,TA/TO,Offline TA/TO
City Hotel,1,653,2017,12,0,1,Transient,FRA,125.66,1,0.0,No Deposit,Corporate,Direct
City Hotel,1,232,2016,1,0,0,Transient,ESP,111.93,1,0.0,No Deposit,TA/TO,Online TA
City Hotel,1,602,2015,5,2,1,Transient,DEU,115.02,3,0.0,No Deposit,Corporate,Direct
City Hotel,0,0,2015,7,2,1,Transient,ITA,142.01,3,426.03,No Deposit,TA/TO,Online TA
Resort Hotel,1,171,2016,7,0,0,Transient,PRT,94.62,1,0.0,No Deposit,TA/TO,Online TA
City Hotel,0,96,2016,2,2,0,Transient,AUS,70.32,2,140.65,No Deposit,TA/TO,Groups
Resort Hotel,0,83,2016,1,0,1,Transient,FRA,120.74,1,120.74,No Deposit,TA/TO,Online TA
City Hotel,1,32,2017,2,1,2,Transient-Party,FRA,108.73,3,0.0,No Deposit,TA/TO,Groups
City Hotel,0,12,2016,7,0,4,Contract,ESP,71.77,4,287.06,No Deposit,TA/TO,Online TA
City Hotel,0,4,2016,6,1,1,Transient,PRT,122.53,2,245.07,No Deposit,TA/TO,Direct
City Hotel,0,172,2017,11,2,2,Transient,PRT,101.86,4,407.46,No Deposit,TA/TO,Corporate
Resort Hotel,0,12,2015,11,0,0,Transient,IRL,92.84,1,92.84,No Deposit,TA/TO,Online TA
Resort Hotel,0,6,2017,10,0,1,Contract,SWE,98.44,1,98.44,No Deposit,Corporate,Offline TA/TO
Resort Hotel,0,25,2015,11,1,5,Transient,NOR,133.66,6,801.95,No Deposit,TA/TO,Online TA
Resort Hotel,0,11,2017,4,0,0,Transient,BEL,93.06,1,93.06,No Deposit,TA/TO,Online TA
City Hotel,0,1,2017,6,2,0,Transient,FRA,168.38,2,336.77,No Deposit,TA/TO,Online TA
Resort Hotel,0,4,2015,8,2,5,Transient,BRA,105.71,7,739.96,No Deposit,TA/TO,Offline TA/TO
City Hotel,1,133,2017,9,1,0,Transient,ITA,71.9,1,0.0,No Deposit,TA/TO,Groups
City Hotel,0,327,2017,1,2,4,Transient,GBR,157.67,6,946.0,No Deposit,TA/TO,Offline TA/TO
City Hotel,0,2,2016,8,2,0,Transient,PRT,152.01,2,304.03,No Deposit,TA/TO,Online TA
City Hotel,0,48,2017,9,0,5,Transient,PRT,113.61,5,568.05,No Deposit,GDS,Online TA
City Hotel,0,14,2015,4,2,0,Transient,PRT,140.19,2,280.38,No Deposit,TA/TO,Direct
City Hotel,0,84,2015,10,1,1,Contract,AUT,108.54,2,217.07,No Deposit,TA/TO,Online TA
Resort Hotel,1,247,2015,6,1,0,Transient-Party,GBR,74.83,1,0.0,No Deposit,TA/TO,Aviation
City Hotel,0,62,2016,10,0,0,Transient,GBR,118.03,1,118.03,No Deposit,Corporate,Online TA
City Hotel,0,6,2017,10,0,1,Transient,GBR,132.28,1,132.28,No Deposit,TA/TO,Online TA
City Hotel,1,176,2016,3,1,1,Transient,PRT,135.08,2,0.0,No Deposit,Corporate,Offline TA/TO
City Hotel,0,63,2015,4,0,0,Transient,ROU,90.93,1,90.93,No Deposit,TA/TO,Offline TA/TO
Resort Hotel,1,89,2016,6,1,0,Transient,FRA,61.88,1,0.0,No Deposit,TA/TO,Online TA
City Hotel,1,419,2017,1,2,0,Transient,AUT,86.09,2,0.0,No Deposit,TA/TO,Online TA
Resort Hotel,1,64,2017,2,2,2,Transient-Party,DEU,134.69,4,0.0,No Deposit,TA/TO,Offline TA/TO
Resort Hotel,0,47,2017,9,1,0,Contract,DEU,10.0,1,10.0,No Deposit,TA/TO,Offline TA/TO
City Hotel,0,84,2016,6,0,1,Transient,ESP,126.48,1,126.48,No Deposit,TA/TO,Offline TA/TO
City Hotel,0,159,2016,9,2,1,Transient,AUT,141.47,3,424.4,No Deposit,TA/TO,Online TA
Resort Hotel,0,133,2016,10,1,2,Group,GBR,94.89,3,284.66,No Deposit,TA/TO,Online TA
Resort Hotel,0,8,2016,10,2,1,Transient,ESP,10.0,3,30.0,Non Refund,TA/TO,Aviation
Resort Hotel,0,113,2017,7,2,2,Transient,DEU,84.6,4,338.42,No Deposit,Direct,Offline TA/TO
Resort Hotel,0,225,2015,6,2,0,Transient,PRT,147.2,2,294.41,No Deposit,TA/TO,Offline TA/TO
City Hotel,0,89,2017,7,2,0,Transient,AUT,115.81,2,231.62,No Deposit,TA/TO,Offline TA/TO
City Hotel,0,99,2015,4,1,5,Contract,PRT,131.29,6,787.72,No Deposit,Corporate,Groups
City Hotel,0,8,2017,9,1,0,Transient,PRT,113.01,1,113.01,No Deposit,TA/TO,Online TA
Resort Hotel,0,5,2015,2,2,2,Transient,ITA,62.79,4,251.17,Non Refund,TA/TO,Online TA
City Hotel,1,679,2017,12,0,2,Transient,BEL,112.81,2,0.0,Non Refund,TA/TO,Offline TA/TO
City Hotel,0,134,2017,8,0,3,Transient,ESP,126.17,3,378.51,No Deposit,TA/TO,Online TA
City Hotel,0,3,2015,3,0,4,Transient,FRA,112.73,4,450.9,No Deposit,Direct,Offline TA/TO
City Hotel,0,175,2016,7,3,2,Transient,CHE,83.24,5,416.18,No Deposit,TA/TO,Online TA
City Hotel,1,5,2015,12,1,1,Transient,PRT,97.78,2,0.0,No Deposit,Corporate,Corporate
Resort Hotel,0,0,2017,5,1,1,Transient,GBR,135.74,2,271.48,No Deposit,TA/TO,Direct
City Hotel,0,16,2015,7,0,4,Contract,GBR,133.72,4,534.89,Non Refund,TA/TO,Online TA
